WKT,SA22022_V1_00,SA22022_V1_00_NAME,SA22022_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,EASTING,NORTHING,LATITUDE,LONGITUDE,Shape_X,Shape_Y
"POINT (2685002.99098848 6456859.41527593)",164100,Papakura Industrial,Papakura Industrial,1.53813489,1.53813489,1774616.9132,5895196.63625,-37.0732522530123,174.964295447076,2685002.99098848,6456859.41527593
"POINT (2686173.45313631 6457483.93962273)",164200,Red Hill,Red Hill,2.10232888,2.10232888,1775786.2075,5895823.4316,-37.0673869642724,174.977295270979,2686173.45313631,6457483.93962273
"POINT (2682468.18630581 6453273.63540509)",164300,Drury,Drury,10.39347366,10.39347366,1772088.9018,5891605.9254,-37.1060689177586,174.936695591479,2682468.18630581,6453273.63540509
"POINT (2663273.68364405 6438396.09504913)",164400,Tamakae,Tamakae,1.34096156,1.34096156,1752922.3243,5876693.09755,-37.2437613175972,174.724139967492,2663273.68364405,6438396.09504913
"POINT (2664604.60172308 6438391.30695643)",164500,Hamilton Estate,Hamilton Estate,2.25936493,2.25936493,1754253.17815,5876690.71415,-37.2435633986533,174.739139041347,2664604.60172308,6438391.30695643
"POINT (2685835.68452541 6452515.69438535)",164600,Drury Rural,Drury Rural,36.0201828,36.0201828,1775457.9301,5890854.3649,-37.1122144134079,174.974766311969,2685835.68452541,6452515.69438535
"POINT (2663613.6228706 6437099.74984527)",164700,Waiuku Central,Waiuku Central,1.13149718,1.13149718,1753264.58285,5875397.44075,-37.255378865209,174.728263881677,2663613.6228706,6437099.74984527
"POINT (2664202.40897903 6436800.30332299)",164800,Waiuku East,Waiuku East,0.83260926,0.83260926,1753853.8766,5875099.0702,-37.2579699838943,174.734967854748,2664202.40897903,6436800.30332299
"POINT (2664974.03296714 6436817.25726625)",164900,Kendallvale,Kendallvale,2.14461759,2.14461759,1754625.4315,5875117.4117,-37.2576769325716,174.743660988374,2664974.03296714,6436817.25726625
"POINT (2674281.28022469 6441505.51086985)",165000,Puni,Puni,38.18155831,38.18155831,1763923.9053,5879822.43355,-37.213697286856,174.847433475975,2674281.28022469,6441505.51086985
"POINT (2682104.06396418 6447356.33578223)",165100,Ramarama,Ramarama,43.61458994,43.61458994,1771735.9267,5885687.80045,-37.1594505956479,174.934082262401,2682104.06396418,6447356.33578223
"POINT (2695414.67270305 6455584.05367627)",165200,Hunua,Hunua,77.83488973,77.83488973,1785031.58855,5893941.24905,-37.0825635792421,175.08169275912,2695414.67270305,6455584.05367627
"POINT (2678649.67706723 6444901.08326426)",165300,Pukekohe North West,Pukekohe North West,4.78289662,4.78289662,1768286.05265,5883226.06475,-37.1822565251405,174.895803696676,2678649.67706723,6444901.08326426
"POINT (2681195.12158091 6444700.22156575)",165400,Anselmi Ridge,Anselmi Ridge,7.53505467,7.53505467,1770831.9118,5883029.92485,-37.1835612755905,174.924513931524,2681195.12158091,6444700.22156575
"POINT (2677911.83257141 6442837.36962108)",165500,Pukekohe West,Pukekohe West,2.21724725,2.21724725,1767552.0149,5881160.96535,-37.2009934865477,174.888001929933,2677911.83257141,6442837.36962108
"POINT (2679959.65790091 6444238.50757687)",165600,Cape Hill,Cape Hill,0.71647936,0.71647936,1769597.2795,5882565.90835,-37.1879667243662,174.910717557518,2679959.65790091,6444238.50757687
"POINT (2678598.40993222 6442150.08263999)",165700,Rosa Birch Park,Rosa Birch Park,0.79202792,0.79202792,1768239.8671,5880474.93585,-37.2070502820303,174.895903538283,2678598.40993222,6442150.08263999
"POINT (2680146.63989494 6443234.67234399)",165800,Rooseville Park,Rooseville Park,1.34680418,1.34680418,1769786.1217,5881562.39955,-37.1969731100501,174.913072172462,2680146.63989494,6443234.67234399
"POINT (2677791.8230273 6440898.27933163)",165900,Cloverlea (Auckland),Cloverlea (Auckland),2.37781817,2.37781817,1767435.57045,5879221.6368,-37.2184862041496,174.887125666951,2677791.8230273,6440898.27933163
"POINT (2680140.05408677 6441908.57178876)",166000,Pukekohe Central,Pukekohe Central,2.93882748,2.93882748,1769781.98255,5880236.26045,-37.208921159041,174.913327222255,2680140.05408677,6441908.57178876
"POINT (2679182.11469182 6441557.94586911)",166100,Pukekohe Hospital,Pukekohe Hospital,0.73466653,0.73466653,1768824.6706,5879883.8646,-37.2122696758428,174.902624150358,2679182.11469182,6441557.94586911
